n,k,"Wn,k1","Wn,k2","Wn,k3","Wn,k4","Wn,k5","Wn,k6","Wn,k7","Wn,k8","Wn,k9","Wn,k10","Wn,k11","Wn,k12","Wn,k13","Wn,k14","Wn,k15","Wn,k16","Wn,k17","Wn,k18","Wn,k19","Wn,k20","Wn,k21","Wn,k22","Wn,k23","Wn,k24","Wn,k25","Wn,k26","Wn,k27","Wn,k28","Wn,k29","Wn,k30","Wn,k31","Wn,k32","Wn,k33","Wn,k34","Wn,k35","Wn,k36","Wn,k37","Wn,k38","Wn,k39","Wn,k40","Wn,k41","Wn,k42","Wn,k43","Wn,k44","Wn,k45","Wn,k46","Wn,k47","Wn,k48","Wn,k49","Wn,k50","Wn,k51","Wn,k52","Wn,k53","Wn,k54","Wn,k55","Wn,k56","Wn,k57","Wn,k58","Wn,k59","Wn,k60","Wn,k61","Wn,k62","Wn,k63","Wn,k64","Wn,k65","Wn,k66","Wn,k67","Wn,k68","Wn,k69","Wn,k70","Wn,k71","Wn,k72","Wn,k73","Wn,k74","Wn,k75","Wn,k76","Wn,k77","Wn,k78","Wn,k79","Wn,k80","Wn,k81","Wn,k82","Wn,k83","Wn,k84","Wn,k85","Wn,k86","Wn,k87","Wn,k88","Wn,k89","Wn,k90","Wn,k91","Wn,k92","Wn,k93","Wn,k94","Wn,k95","Wn,k96","Wn,k97","Wn,k98","Wn,k99","Wn,k100"
90,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98709E+25,-2.92053E+27,6.98494E+28,-1.0916E+30,1.25348E+31,-1.12757E+32,8.27296E+32,-5.08951E+33,2.67862E+34,-1.22451E+35,4.92009E+35,-1.75404E+36,5.59101E+36,-1.60346E+37,4.15923E+37,-9.80067E+37,2.10561E+38,-4.13734E+38,7.45435E+38,-1.23419E+39,1.88111E+39,-2.64325E+39,3.42809E+39,-4.10708E+39,4.54827E+39,-4.65743E+39,4.41044E+39,-3.86188E+39,3.12561E+39,-2.33679E+39,1.61238E+39,-1.0256E+39,6.0049E+38,-3.23053E+38,1.59344E+38,-7.18716E+37,2.95525E+37,-1.10368E+37,3.72734E+36,-1.13236E+36,3.07505E+35,-7.40754E+34,1.56797E+34,-2.88201E+33,4.53043E+32,-5.96951E+31,6.41315E+30,-5.39526E+29,3.33372E+28,-1.34541E+27,2.66093E+25,,,,,,,,,,
90,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30133E+25,-3.49247E+27,8.187E+28,-1.25348E+30,1.40947E+31,-1.24094E+32,8.90664E+32,-5.35724E+33,2.75515E+34,-1.23002E+35,4.82361E+35,-1.6773E+36,5.21124E+36,-1.45573E+37,3.67525E+37,-8.42245E+37,1.75837E+38,-3.35446E+38,5.86241E+38,-9.40556E+38,1.38771E+39,-1.88545E+39,2.36157E+39,-2.72896E+39,2.91089E+39,-2.86679E+39,2.60677E+39,-2.18792E+39,1.69417E+39,-1.20929E+39,7.94836E+38,-4.80392E+38,2.66519E+38,-1.35442E+38,6.28876E+37,-2.65972E+37,1.0209E+37,-3.54097E+36,1.10405E+36,-3.07505E+35,7.59272E+34,-1.64637E+34,3.09816E+33,-4.98347E+32,6.7157E+31,-7.37512E+30,6.33943E+29,-4.00047E+28,1.64813E+27,-3.32616E+25,,,,,,,,,,
90,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51822E+25,-3.99366E+27,9.1718E+28,-1.37509E+30,1.51335E+31,-1.30341E+32,9.1465E+32,-5.3759E+33,2.70005E+34,-1.17649E+35,4.50008E+35,-1.52524E+36,4.61574E+36,-1.25496E+37,3.08138E+37,-6.86194E+37,1.39087E+38,-2.57374E+38,4.35868E+38,-6.7693E+38,9.65717E+38,-1.26718E+39,1.53088E+39,-1.70394E+39,1.74804E+39,-1.65307E+39,1.44083E+39,-1.15699E+39,8.55349E+38,-5.81588E+38,3.63223E+38,-2.08015E+38,1.09014E+38,-5.21507E+37,2.27049E+37,-8.96403E+36,3.19551E+36,-1.02326E+36,2.92505E+35,-7.40754E+34,1.64637E+34,-3.17373E+33,5.22657E+32,-7.20709E+31,8.09465E+30,-7.11254E+29,4.5859E+28,-1.92952E+27,3.97517E+25,,,,,,,,,,
90,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50871E+25,-4.36752E+27,9.82207E+28,-1.44128E+30,1.55168E+31,-1.30664E+32,8.95984E+32,-5.14295E+33,2.52105E+34,-1.07145E+35,3.99468E+35,-1.31878E+36,3.88441E+36,-1.02713E+37,2.45069E+37,-5.29856E+37,1.04175E+38,-1.868E+38,3.0623E+38,-4.59865E+38,6.33592E+38,-8.0189E+38,9.33108E+38,-9.98881E+38,9.83972E+38,-8.91942E+38,7.43782E+38,-5.70233E+38,4.01572E+38,-2.59445E+38,1.53535E+38,-8.30586E+37,4.09756E+37,-1.83802E+37,7.47002E+36,-2.73901E+36,9.01446E+35,-2.64647E+35,6.87843E+34,-1.56797E+34,3.09816E+33,-5.22657E+32,7.37869E+31,-8.4801E+30,7.62057E+29,-5.02265E+28,2.15922E+27,-4.54305E+25,,,,,,,,,,
90,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0157E+26,-4.56841E+27,1.00555E+29,-1.44342E+30,1.51935E+31,-1.25021E+32,8.37224E+32,-4.69033E+33,2.24256E+34,-9.28995E+34,3.37363E+35,-1.08402E+36,3.10527E+36,-7.979E+36,1.84834E+37,-3.87629E+37,7.38513E+37,-1.28189E+38,2.03196E+38,-2.94694E+38,3.91621E+38,-4.77404E+38,5.34285E+38,-5.49194E+38,5.18571E+38,-4.49729E+38,3.58053E+38,-2.61489E+38,1.74975E+38,-1.07117E+38,5.98794E+37,-3.04934E+37,1.41057E+37,-5.90653E+36,2.22943E+36,-7.54699E+35,2.2772E+35,-6.07861E+34,1.42211E+34,-2.88201E+33,4.98347E+32,-7.20709E+31,8.4801E+30,-7.7978E+29,5.25626E+28,-2.30987E+27,4.96566E+25,,,,,,,,,,
90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03827E+26,-4.57066E+27,9.84151E+28,-1.38123E+30,1.42069E+31,-1.14167E+32,7.46189E+32,-4.07739E+33,1.90022E+34,-7.66734E+34,2.71005E+35,-8.46892E+35,2.35743E+36,-5.88107E+36,1.32146E+37,-2.6855E+37,4.95277E+37,-8.31257E+37,1.27254E+38,-1.78009E+38,2.27852E+38,-2.67142E+38,2.87078E+38,-2.82857E+38,2.55528E+38,-2.11577E+38,1.60459E+38,-1.11347E+38,7.05999E+37,-4.08269E+37,2.1484E+37,-1.02587E+37,4.4299E+36,-1.72274E+36,6.00329E+35,-1.86316E+35,5.11156E+34,-1.22819E+34,2.55451E+33,-4.53043E+32,6.7157E+31,-8.09465E+30,7.62057E+29,-5.25626E+28,2.36237E+27,-5.19137E+25,,,,,,,,,,
90,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0157E+26,-4.37401E+27,9.20819E+28,-1.26284E+30,1.26852E+31,-9.94918E+31,6.3426E+32,-3.37816E+33,1.53347E+34,-6.02234E+34,2.07018E+35,-6.28648E+35,1.69898E+36,-4.11121E+36,8.95167E+36,-1.76099E+37,3.1403E+37,-5.09017E+37,7.51595E+37,-1.01268E+38,1.24666E+38,-1.40349E+38,1.44571E+38,-1.36281E+38,1.17543E+38,-9.27097E+37,6.68084E+37,-4.39288E+37,2.63107E+37,-1.43227E+37,7.06711E+36,-3.15015E+36,1.26334E+36,-4.53582E+35,1.44913E+35,-4.08925E+34,1.00984E+34,-2.15714E+33,3.92637E+32,-5.96951E+31,7.37512E+30,-7.11254E+29,5.02265E+28,-2.30987E+27,5.19137E+25,,,,,,,,,,
90,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50871E+25,-4.00356E+27,8.2359E+28,-1.10306E+30,1.08143E+31,-8.27296E+31,5.14068E+32,-2.6669E+33,1.17828E+34,-4.50039E+34,1.50329E+35,-4.43211E+35,1.16186E+36,-2.72442E+36,5.74234E+36,-1.09228E+37,1.88115E+37,-2.94102E+37,4.18279E+37,-5.42028E+37,6.40726E+37,-6.91428E+37,6.81407E+37,-6.13266E+37,5.03857E+37,-3.77613E+37,2.57843E+37,-1.60152E+37,9.02951E+36,-4.60899E+36,2.12293E+36,-8.78846E+35,3.25395E+35,-1.07109E+35,3.11138E+34,-7.90313E+33,1.73509E+33,-3.24353E+32,5.06111E+31,-6.41315E+30,6.33943E+29,-4.5859E+28,2.15922E+27,-4.96566E+25,,,,,,,,,,
90,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51822E+25,-3.50464E+27,7.04082E+28,-9.20368E+29,8.80102E+30,-6.56257E+31,3.97198E+32,-2.00559E+33,8.61777E+33,-3.19849E+34,1.0373E+35,-2.96646E+35,7.53564E+35,-1.71048E+36,3.486E+36,-6.40391E+36,1.06377E+37,-1.60192E+37,2.19118E+37,-2.72649E+37,3.08936E+37,-3.18956E+37,3.00109E+37,-2.57289E+37,2.00858E+37,-1.42637E+37,9.20021E+36,-5.37929E+36,2.84384E+36,-1.35506E+36,5.79664E+35,-2.21546E+35,7.52044E+34,-2.25079E+34,5.88531E+33,-1.32901E+33,2.55341E+32,-4.09196E+31,5.32155E+30,-5.39526E+29,4.00047E+28,-1.92952E+27,4.54305E+25,,,,,,,,,,
90,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30133E+25,-2.93367E+27,5.7523E+28,-7.33419E+29,6.83602E+30,-4.96497E+31,2.92482E+32,-1.4363E+33,5.99716E+33,-2.16105E+34,6.79814E+34,-1.88391E+35,4.63256E+35,-1.01675E+36,2.00122E+36,-3.54592E+36,5.67346E+36,-8.21692E+36,1.07924E+37,-1.28723E+37,1.39543E+37,-1.3755E+37,1.23284E+37,-1.00429E+37,7.42899E+36,-4.98345E+36,3.02585E+36,-1.65891E+36,8.18682E+35,-3.6229E+35,1.43082E+35,-5.01363E+34,1.54742E+34,-4.16876E+33,9.69067E+32,-1.91506E+32,3.15422E+31,-4.21289E+30,4.38365E+29,-3.33372E+28,1.64813E+27,-3.97517E+25,,,,,,,,,,
90,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98709E+25,-2.34788E+27,4.49032E+28,-5.58042E+29,5.0663E+30,-3.58141E+31,2.05185E+32,-9.79129E+32,3.96927E+33,-1.38738E+34,4.22918E+34,-1.13451E+35,2.6975E+35,-5.71778E+35,1.08548E+36,-1.85256E+36,2.85077E+36,-3.96454E+36,4.99131E+36,-5.69565E+36,5.895E+36,-5.53521E+36,4.71401E+36,-3.63869E+36,2.54258E+36,-1.60555E+36,9.14092E+35,-4.67818E+35,2.14417E+35,-8.7601E+34,3.17189E+34,-1.01056E+34,2.80753E+33,-6.72414E+32,1.3679E+32,-2.31738E+31,3.18116E+30,-3.39957E+29,2.65337E+28,-1.34541E+27,3.32616E+25,,,,,,,,,,
90,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69576E+25,-1.79613E+27,3.34825E+28,-4.05304E+29,3.58141E+30,-2.46222E+31,1.37078E+32,-6.35083E+32,2.49728E+33,-8.45837E+33,2.49591E+34,-6.474E+34,1.48662E+35,-3.03936E+35,5.55768E+35,-9.12245E+35,1.34794E+36,-1.79687E+36,2.16435E+36,-2.358E+36,2.32479E+36,-2.07417E+36,1.6738E+36,-1.22044E+36,8.02776E+35,-4.75328E+35,2.52622E+35,-1.20073E+35,5.08086E+34,-1.90313E+34,6.26546E+33,-1.79682E+33,4.43793E+32,-9.30172E+31,1.62217E+31,-2.29044E+30,2.51568E+29,-2.01656E+28,1.04942E+27,-2.66093E+25,,,,,,,,,,
90,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52182E+25,-1.31304E+27,2.38414E+28,-2.80895E+29,2.41394E+30,-1.61268E+31,8.71683E+31,-3.9173E+32,1.49265E+33,-4.89394E+33,1.39635E+34,-3.49793E+34,7.74738E+34,-1.52564E+35,2.68307E+35,-4.22885E+35,5.98957E+35,-7.63887E+35,8.7847E+35,-9.11682E+35,8.54068E+35,-7.2203E+35,5.50393E+35,-3.77777E+35,2.33004E+35,-1.28788E+35,6.35682E+34,-2.78949E+34,1.08217E+34,-3.68556E+33,1.09219E+33,-2.78458E+32,6.01876E+31,-1.08145E+31,1.57187E+30,-1.77577E+29,1.463E+28,-7.81923E+26,2.03483E+25,,,,,,,,,,
90,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52508E+25,-9.16977E+26,1.62055E+28,-1.85688E+29,1.55066E+30,-1.00579E+31,5.27328E+31,-2.29639E+32,8.47029E+32,-2.68529E+33,7.39948E+33,-1.78786E+34,3.81409E+34,-7.22366E+34,1.21986E+35,-1.84294E+35,2.49732E+35,-3.04086E+35,3.33114E+35,-3.28488E+35,2.91589E+35,-2.32859E+35,1.67094E+35,-1.0754E+35,6.19171E+34,-3.17841E+34,1.44839E+34,-5.82709E+33,2.05541E+33,-6.30107E+32,1.66004E+32,-3.70385E+31,6.86302E+30,-1.02776E+30,1.19523E+29,-1.01284E+28,5.56368E+26,-1.48699E+25,,,,,,,,,,
90,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73015E+25,-6.11528E+26,1.05106E+28,-1.17031E+29,9.48857E+29,-5.96975E+30,3.03297E+31,-1.27853E+32,4.55993E+32,-1.39613E+33,3.71065E+33,-8.63568E+33,1.77184E+34,-3.22227E+34,5.21588E+34,-7.53909E+34,9.7537E+34,-1.13133E+35,1.1776E+35,-1.10034E+35,9.22647E+34,-6.93596E+34,4.66684E+34,-2.80379E+34,1.49925E+34,-7.10531E+33,2.96852E+33,-1.08588E+33,3.44775E+32,-9.39646E+31,2.16641E+31,-4.14371E+30,6.39926E+29,-7.66753E+28,6.68859E+27,-3.7791E+26,1.03809E+25,,,,,,,,,,
90,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13246E+25,-3.89283E+26,6.5017E+27,-7.02857E+28,5.52755E+29,-3.36996E+30,1.65736E+31,-6.75546E+31,2.32688E+32,-6.87157E+32,1.75912E+33,-3.93743E+33,7.75732E+33,-1.35227E+34,2.09419E+34,-2.88998E+34,3.5616E+34,-3.92533E+34,3.87155E+34,-3.41721E+34,2.69732E+34,-1.90131E+34,1.19421E+34,-6.66334E+33,3.2895E+33,-1.42929E+33,5.42939E+32,-1.78772E+32,5.04624E+31,-1.20356E+31,2.3788E+30,-3.79216E+29,4.68571E+28,-4.21133E+27,2.44942E+26,-6.92058E+24,,,,,,,,,,
90,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07787E+24,-2.36426E+26,3.83376E+27,-4.02004E+28,3.0636E+29,-1.80803E+30,8.59785E+30,-3.38455E+31,1.12444E+32,-3.1984E+32,7.87485E+32,-1.69251E+33,3.19626E+33,-5.33067E+33,7.88178E+33,-1.0361E+34,1.21328E+34,-1.26705E+34,1.18049E+34,-9.80843E+33,7.25953E+33,-4.77683E+33,2.78649E+33,-1.43542E+33,6.49675E+32,-2.56662E+32,8.7761E+31,-2.569E+31,6.34604E+30,-1.29753E+30,2.1374E+29,-2.72623E+28,2.5268E+27,-1.51419E+26,4.40401E+24,,,,,,,,,,
90,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22189E+24,-1.3692E+26,2.15359E+27,-2.18829E+28,1.61431E+29,-9.21199E+29,4.23069E+30,-1.60634E+31,5.14029E+31,-1.40622E+32,3.32456E+32,-6.84914E+32,1.23748E+33,-1.97044E+33,2.77527E+33,-3.46652E+33,3.84641E+33,-3.79444E+33,3.32786E+33,-2.59269E+33,1.79131E+33,-1.09469E+33,5.89546E+32,-2.78432E+32,1.14581E+32,-4.07462E+31,1.23862E+31,-3.17302E+30,6.71933E+29,-1.14503E+29,1.50916E+28,-1.44389E+27,8.92289E+25,-2.67386E+24,,,,,,,,,,
90,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40211E+24,-7.55646E+25,1.15173E+27,-1.13285E+28,8.08069E+28,-4.45336E+29,1.9727E+30,-7.21444E+30,2.22035E+31,-5.83257E+31,1.32176E+32,-2.60521E+32,4.49399E+32,-6.81646E+32,9.12243E+32,-1.0797E+33,1.13167E+33,-1.0509E+33,8.6423E+32,-6.28531E+32,4.03307E+32,-2.27544E+32,1.1235E+32,-4.82447E+31,1.78711E+31,-5.64986E+30,1.50301E+30,-3.30072E+29,5.82561E+28,-7.94297E+27,7.85271E+26,-5.00934E+25,1.54802E+24,,,,,,,,,,
90,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30284E+24,-3.97148E+25,5.85957E+26,-5.57289E+27,3.8391E+28,-2.04072E+29,8.70708E+29,-3.06256E+30,9.05054E+30,-2.2789E+31,4.94092E+31,-9.29792E+31,1.52783E+32,-2.20196E+32,2.79232E+32,-3.12186E+32,3.08023E+32,-2.68209E+32,2.05898E+32,-1.39071E+32,8.23866E+31,-4.26155E+31,1.91315E+31,-7.39495E+30,2.43529E+30,-6.73762E+29,1.53654E+29,-2.81237E+28,3.97148E+27,-4.06175E+26,2.67741E+25,-8.54083E+23,,,,,,,,,,
90,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73133E+23,-1.98629E+25,2.83367E+26,-2.60278E+27,1.72943E+28,-8.85466E+28,3.63354E+29,-1.22719E+30,3.47629E+30,-8.37445E+30,1.73351E+31,-3.10745E+31,4.85179E+31,-6.62583E+31,7.93693E+31,-8.35318E+31,7.72806E+31,-6.28163E+31,4.47857E+31,-2.79277E+31,1.51682E+31,-7.13379E+30,2.88278E+30,-9.90625E+29,2.85493E+29,-6.77121E+28,1.28701E+28,-1.88477E+27,1.99645E+26,-1.36139E+25,4.48755E+23,,,,,,,,,,
90,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31049E+23,-9.44558E+24,1.30139E+26,-1.15295E+27,7.37888E+27,-3.63354E+28,1.43172E+29,-4.63506E+29,1.25617E+30,-2.88918E+30,5.69698E+30,-9.70357E+30,1.4356E+31,-1.85195E+31,2.08829E+31,-2.06082E+31,1.7798E+31,-1.34357E+31,8.84376E+30,-5.05607E+30,2.49683E+30,-1.05702E+30,3.79739E+29,-1.14197E+29,2.82134E+28,-5.57706E+27,8.48148E+26,-9.31677E+25,6.58006E+24,-2.24378E+23,,,,,,,,,,
90,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54846E+23,-4.26685E+24,5.67025E+25,-4.83861E+26,2.97831E+27,-1.40825E+28,5.31892E+28,-1.64743E+29,4.26273E+29,-9.33932E+29,1.74982E+30,-2.82413E+30,3.94678E+30,-4.79281E+30,5.06758E+30,-4.66832E+30,3.74438E+30,-2.60964E+30,1.57484E+30,-8.18631E+29,3.63892E+29,-1.36955E+29,4.30579E+28,-1.11003E+28,2.28568E+27,-3.61506E+26,4.12382E+25,-3.02036E+24,1.06671E+23,,,,,,,,,,
90,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88202E+22,-1.82911E+24,2.34126E+25,-1.92149E+26,1.13569E+27,-5.14734E+27,1.86E+28,-5.5003E+28,1.35571E+29,-2.8223E+29,5.01055E+29,-7.63893E+29,1.00494E+30,-1.14429E+30,1.12943E+30,-9.66292E+29,7.15545E+29,-4.57212E+29,2.50871E+29,-1.17384E+29,4.63881E+28,-1.52786E+28,4.11787E+27,-8.8478E+26,1.45768E+26,-1.72934E+25,1.31532E+24,-4.81742E+22,,,,,,,,,,
90,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90335E+22,-7.43258E+23,9.14996E+24,-7.21072E+25,4.08519E+26,-1.77143E+27,6.11144E+27,-1.72153E+28,4.03185E+28,-7.95325E+28,1.33378E+29,-1.91418E+29,2.36124E+29,-2.50985E+29,2.30069E+29,-1.81726E+29,1.23375E+29,-7.16774E+28,3.54016E+28,-1.47264E+28,5.09287E+27,-1.43799E+27,3.23015E+26,-5.55308E+25,6.86247E+24,-5.42829E+23,2.06461E+22,,,,,,,,,,
90,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16134E+22,-2.85936E+23,3.38002E+24,-2.55324E+25,1.38393E+26,-5.72948E+26,1.88293E+27,-5.03982E+27,1.11843E+28,-2.08403E+28,3.28999E+28,-4.42732E+28,5.09813E+28,-5.03277E+28,4.2592E+28,-3.08437E+28,1.90393E+28,-9.95671E+27,4.37189E+27,-1.59152E+27,4.71839E+26,-1.11036E+26,1.99564E+25,-2.57343E+24,2.12043E+23,-8.38746E+21,,,,,,,,,,
90,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39902E+21,-1.04001E+23,1.17842E+24,-8.5165E+24,4.40729E+25,-1.73809E+26,5.4275E+26,-1.37652E+27,2.88558E+27,-5.06153E+27,7.49239E+27,-9.41193E+27,1.00655E+28,-9.17366E+27,7.11777E+27,-4.6866E+27,2.60406E+27,-1.21068E+27,4.65214E+26,-1.45181E+26,3.58733E+25,-6.75447E+24,9.10597E+23,-7.82927E+22,3.22595E+21,,,,,,,,,,
90,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57577E+21,-3.57097E+22,3.87114E+23,-2.67108E+24,1.31673E+25,-4.93409E+25,1.45995E+26,-3.49768E+26,6.90208E+26,-1.13521E+27,1.56866E+27,-1.8301E+27,1.80693E+27,-1.50983E+27,1.06514E+27,-6.31288E+26,3.11841E+26,-1.26877E+26,4.17946E+25,-1.08707E+25,2.14915E+24,-3.03532E+23,2.72838E+22,-1.17307E+21,,,,,,,,,,
90,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3298E+20,-1.15556E+22,1.19601E+23,-7.86109E+23,3.68215E+24,-1.30742E+25,3.65429E+25,-8.24129E+25,1.52491E+26,-2.34128E+26,3.00464E+26,-3.2363E+26,2.92952E+26,-2.22566E+26,1.41333E+26,-7.44695E+25,3.21926E+25,-1.12284E+25,3.08273E+24,-6.41537E+23,9.5137E+22,-8.95886E+21,4.02696E+20,,,,,,,,,,
90,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69936E+20,-3.51767E+21,3.46813E+22,-2.16597E+23,9.61336E+23,-3.22437E+24,8.48368E+24,-1.79401E+25,3.09875E+25,-4.41859E+25,5.23519E+25,-5.16975E+25,4.25493E+25,-2.9098E+25,1.64271E+25,-7.57472E+24,2.8071E+24,-8.16018E+23,1.79253E+23,-2.79815E+22,2.76671E+21,-1.30284E+20,,,,,,,,,,
90,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09807E+19,-1.00525E+21,9.41728E+21,-5.57296E+22,2.3365E+23,-7.37712E+23,1.82001E+24,-3.59275E+24,5.76337E+24,-7.58722E+24,8.24162E+24,-7.39989E+24,5.48223E+24,-3.33303E+24,1.64668E+24,-6.50922E+23,2.01048E+23,-4.67616E+22,7.70504E+21,-8.01944E+20,3.96517E+19,,,,,,,,,,
